City,Date,Max Temperature (°C),Min Temperature (°C),Precipitation (mm),Max Wind Speed (m/s)
Delhi,2025-03-07,18.07,18.07,0,2.06
Mumbai,2025-03-07,28.0,28.0,0,0.0
Kolkata,2025-03-07,22.96,22.96,0,0.0
Chennai,2025-03-07,27.27,26.13,0,1.34
Bangalore,2025-03-07,23.44,21.85,0,2.06
Hyderabad,2025-03-07,22.73,22.73,0,2.06
Pune,2025-03-07,24.77,24.77,0,0.93
Ahmedabad,2025-03-07,25.02,25.02,0,0.0
Jaipur,2025-03-07,20.68,20.68,0,0.0
Lucknow,2025-03-07,18.05,18.05,0,1.54
Chandigarh,2025-03-07,15.91,15.91,0,2.9
Bhopal,2025-03-07,19.18,19.18,0,1.54
Patna,2025-03-07,18.98,18.98,0,0.0
Indore,2025-03-07,22.09,22.09,0,0.0
Guwahati,2025-03-07,20.0,20.0,0,0.0
Bhubaneswar,2025-03-07,22.98,22.98,0,1.54
Nagpur,2025-03-07,25.0,25.0,0,2.57
Coimbatore,2025-03-07,26.78,26.78,0,2.57
Vishakhapatnam,2025-03-07,24.78,24.78,0,1.03
Thiruvananthapuram,2025-03-07,29.85,29.85,0,1.54
