Sl. No,State/UT,Govt,Govt Aided,CTSA,KVS,JNV,Independent,Grand Total
1,Andhra Pradesh,1031,0,0,27,14,174,1246
2,Assam,27,3,0,51,27,159,267
3,Bihar,8,0,0,40,37,957,1042
4,Gujarat,16,0,0,42,33,418,509
5,Haryana,281,1,0,29,21,1825,2157
6,Himachal Pradesh,13,0,3,24,11,219,270
7,Jammu and Kashmir,16,3,0,28,15,73,135
8,Karnataka,30,0,2,38,31,362,463
9,Kerala,7,0,0,37,14,809,867
10,Madhya Pradesh,144,1,0,104,53,1102,1404
11,Maharashtra,41,4,0,55,34,613,747
12,Manipur,6,2,0,6,12,41,67
13,Meghalaya,2,0,0,7,8,8,25
14,Nagaland,3,0,0,3,9,8,23
15,Odisha,276,1,0,51,31,259,618
16,Punjab,54,5,0,47,23,1179,1308
17,Rajasthan,135,47,0,67,35,940,1224
18,Sikkim,102,0,0,2,4,8,116
19,Tamilnadu,10,2,0,40,0,1219,1271
20,Tripura,135,1,0,8,7,29,180
21,Uttar Pradesh,102,4,0,109,74,3689,3978
22,Arunachal Pradesh,100,0,0,12,14,45,171
23,Mizoram,3,0,0,2,6,0,11
24,West Bengal,16,2,2,54,15,299,388
25,Andaman and Nicobar Islands,50,2,0,2,2,13,69
26,Chandigarh,47,1,0,6,1,51,106
27,Delhi,989,198,0,45,2,656,1890
28,Goa,1,0,0,5,2,6,14
29,Puducherry,63,0,0,4,3,32,102
30,Dadar and Nagar Haveli,3,0,0,1,1,10,15
31,Daman and Diu,1,0,0,1,2,3,7
32,Lakshadweep,2,0,0,1,1,0,4
33,Chattisgarh,88,0,0,34,28,415,565
34,Jharkhand,84,1,0,29,24,412,550
35,Uttarakhand,214,5,2,43,13,554,831
36,Telangana,31,0,0,25,10,208,274
37,Ladakh,40,0,0,2,2,4,48
38,Bahrain,0,0,0,0,0,7,7
39,Indonesia,0,0,0,0,0,1,1
40,Iran,0,0,0,1,0,0,1
41,Japan,0,0,0,0,0,2,2
42,Kuwait,0,0,0,0,0,22,22
43,Malaysia,0,0,0,0,0,2,2
44,Nepal,0,0,0,1,0,13,14
45,Nigeria,0,0,0,0,0,1,1
46,Oman,0,0,0,0,0,15,15
47,Qatar,0,0,0,0,0,16,16
48,Russia,0,0,0,1,0,0,1
49,Saudi Arabia,0,0,0,0,0,25,25
50,Singapore,0,0,0,0,0,4,4
51,Tanzania,0,0,0,0,0,2,2
52,Uganda,0,0,0,0,0,1,1
53,United Arab Emirates,0,0,0,0,0,93,93
54,Yemen,0,0,0,0,0,1,1
Total,Total,4171,283,9,1084,619,17004,23170
